"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>lepto-</b><sup id=""cite_ref-68"" class=""reference""><a href=""#cite_note-68"">[68]</a></sup>"|"small, fine, thin"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CE%B5%CF%80%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:λεπτός"">λεπτός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>leptós</i></span>)"|"leptocyte, <a href=""/wiki/Leptogenesis_(physics)"" class=""mw-redirect"" title=""Leptogenesis (physics)"">leptogenesis</a>, <i><a href=""/wiki/Leptomonas"" title=""Leptomonas"">Leptomonas</a></i>, <a href=""/wiki/Lepton"" title=""Lepton"">lepton</a>, leptophyllous
"|
"<b>leuc-</b>, <b>leuk-</b><sup id=""cite_ref-69"" class=""reference""><a href=""#cite_note-69"">[69]</a></sup>"|"white"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CE%B5%CF%85%CE%BA%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:λευκός"">λευκός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>leukós</i></span>)"|"<a href=""/wiki/Aleukemia"" class=""mw-redirect"" title=""Aleukemia"">aleukemia</a>, aleukocytosis, <a href=""/wiki/Leucism"" title=""Leucism"">leucism</a>, <a href=""/wiki/White_blood_cells"" class=""mw-redirect"" title=""White blood cells"">leucocyte</a>, leucopenia, <a href=""/wiki/Leucoplast"" title=""Leucoplast"">leucoplast</a>, <a href=""/wiki/Leukemia"" title=""Leukemia"">leukemia</a>, leukocytopenia, <a href=""/wiki/Leukopenia"" title=""Leukopenia"">leukopenia</a>,  leucophore
"|
"<b>lev-</b>"|"lift, light, raise"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/levare#Latin"" class=""extiw"" title=""wikt:levare"">levare</a></i> ""lighten, raise"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/levis#Latin"" class=""extiw"" title=""wikt:levis"">levis</a></i> ""light"" (in weight)"|"alleviate, alleviation, <a href=""/wiki/Bas-relief"" class=""mw-redirect"" title=""Bas-relief"">bas-relief</a>, <a href=""/wiki/Counter-relief"" class=""mw-redirect"" title=""Counter-relief"">counter-relief</a>, <a href=""/wiki/Deleverage"" class=""mw-redirect"" title=""Deleverage"">deleverage</a>, elevate, <a href=""/wiki/Elevation"" title=""Elevation"">elevation</a>, <a href=""/wiki/Elevator"" title=""Elevator"">elevator</a>, leaven, legerity, <a href=""/wiki/Levade"" class=""mw-redirect"" title=""Levade"">levade</a>, <a href=""/wiki/Levant"" title=""Levant"">Levant</a>, <a href=""/wiki/Levee"" title=""Levee"">levee</a>, <a href=""/wiki/Lever"" title=""Lever"">lever</a>, leverage, leviable, levitate, <a href=""/wiki/Levitation"" title=""Levitation"">levitation</a>, levity, levy, <a href=""/wiki/Glossary_of_ballet#Relevé"" title=""Glossary of ballet"">relevé</a>, <a href=""/wiki/Relief"" title=""Relief"">relief</a>, relieve, sublevation, <a href=""/wiki/Superelevation"" class=""mw-redirect"" title=""Superelevation"">superelevation</a>
"|
"<b>liber-</b>"|"free"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/liber#Latin"" class=""extiw"" title=""wikt:liber"">liber</a></i>, <i><i lang=""la"" title=""Latin language text"">liberare</i></i>"|"deliver, deliverance, illiberal, illiberality, liberal, liberality, liberalize, liberate, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/liberation#English"" class=""extiw"" title=""wikt:liberation"">liberation</a></i>, liberator, libertarian, liberticide, libertinage, libertine, <a href=""/wiki/Liberty"" title=""Liberty"">liberty</a>, ultraliberal
"|
"<b>libr-</b>"|"<a href=""/wiki/Book"" title=""Book"">book</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/liber#Latin"" class=""extiw"" title=""wikt:liber"">liber</a></i>, <i><i lang=""la"" title=""Latin language text"">libri</i></i>"|"interlibrary, <a href=""/wiki/Libel"" class=""mw-redirect"" title=""Libel"">libel</a>, libellant, libellee, libellous, <a href=""/wiki/Librarian"" title=""Librarian"">librarian</a>, <a href=""/wiki/Library"" title=""Library"">library</a>, <a href=""/wiki/Libretto"" title=""Libretto"">libretto</a>
"|
"<b>lig-</b>"|"bind"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ligo#Latin"" class=""extiw"" title=""wikt:ligo"">ligare</a></i>, <i><i lang=""la"" title=""Latin language text"">ligatus</i></i>"|"<a href=""/wiki/Ligament"" title=""Ligament"">ligament</a>, <a href=""/wiki/Ligature_(music)"" title=""Ligature (music)"">ligature</a>
"|
"<b>limac-</b>"|"<a href=""/wiki/Slug"" title=""Slug"">slug</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/limax#Latin"" class=""extiw"" title=""wikt:limax"">limax</a></i>, <i><i lang=""la"" title=""Latin language text"">limacis</i></i>"|"limacine, <a href=""/wiki/Limacoid"" class=""mw-redirect"" title=""Limacoid"">limacoid</a>, <a href=""/wiki/Limacon"" class=""mw-redirect"" title=""Limacon"">limacon</a>, <a href=""/wiki/Limax"" title=""Limax"">Limax</a>
"|
"<b>limpa-</b>"|"clear, water"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/limpa#Latin"" class=""extiw"" title=""wikt:limpa"">limpa</a></i> ""water"""|"limpid, limpidity, <a href=""/wiki/Lymph"" title=""Lymph"">lymph</a>
"|
"<b>line-</b>"|"<a href=""/wiki/Line_(geometry)"" title=""Line (geometry)"">line</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/linea#Latin"" class=""extiw"" title=""wikt:linea"">linea</a></i>"|"align, alignment, ambilineal, <a href=""/wiki/Ambilineality"" title=""Ambilineality"">ambilineality</a>, bilinear, collinear, collinearity, <a href=""/wiki/Collineation"" title=""Collineation"">collineation</a>, curvilinear, curvilinearity, delineate, delineation, delineavit, line, <a href=""/wiki/Linea"" title=""Linea"">linea</a>, lineage, lineal, lineament, linear, <a href=""/wiki/Linearity"" title=""Linearity"">linearity</a>, lineate, lineation, matrilineal, <a href=""/wiki/Multicollinearity"" title=""Multicollinearity"">multicollinearity</a>, <a href=""/wiki/Multilinear_(disambiguation)"" class=""mw-redirect mw-disambig"" title=""Multilinear (disambiguation)"">multilinear</a>, nonalignment, noncollinear, nonlineal, <a href=""/wiki/Nonlinear_system"" title=""Nonlinear system"">nonlinear, nonlinearity</a>, quasilinear, realign, realignment, rectilinear, rectilinearity, <a href=""/wiki/Sesquilinear_form"" title=""Sesquilinear form"">sesquilinear</a>, sublineage, sublinear, supralinear, <a href=""/wiki/Trilinear_coordinates"" title=""Trilinear coordinates"">trilinear</a>, unilinear
"|
"<b>line-</b>"|"smear, smudge"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/linere#Latin"" class=""extiw"" title=""wikt:linere"">linere</a></i>"|"delete, deletion, indelible, liniment
"|
"<b>lingu-</b>"|"language, <a href=""/wiki/Tongue"" title=""Tongue"">tongue</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/lingua#Latin"" class=""extiw"" title=""wikt:lingua"">lingua</a></i>"|"bilingual, bilinguality, bilinguous, collingual, elinguation, interlanguage, <a href=""/wiki/Language"" title=""Language"">language</a>, ligula, ligular, ligule, <a href=""/wiki/Lingua_franca"" title=""Lingua franca"">lingua franca</a>, lingual, linguiform, <a href=""/wiki/Linguine"" title=""Linguine"">linguine</a>, <a href=""/wiki/Multilingualism"" title=""Multilingualism"">multilingual</a>, prelingual, quadrilingual, sublingual, trilingual
"|
"<b>linqu-</b>, <b>lict-</b>"|"leave"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/linquo#Latin"" class=""extiw"" title=""wikt:linquo"">linquere</a></i>, <i><i lang=""la"" title=""Latin language text"">lictus</i></i>"|"<a href=""/wiki/Relict"" title=""Relict"">relict</a>, relinquish
"|
"<b>lip-</b><sup id=""cite_ref-70"" class=""reference""><a href=""#cite_note-70"">[70]</a></sup>"|"fat"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CE%AF%CF%80%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:λίπος"">λίπος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>lípos</i></span>)"|"<a href=""/wiki/Lipolysis"" title=""Lipolysis"">lipolysis</a>, <a href=""/wiki/Lipophile"" class=""mw-redirect"" title=""Lipophile"">lipophile</a>, <a href=""/wiki/Lipophilic"" class=""mw-redirect"" title=""Lipophilic"">lipophilic</a>, <a href=""/wiki/Lipopolysaccharide"" title=""Lipopolysaccharide"">lipopolysaccharide</a>, lipoprotein, synaloepha
"|
"<b>liqu-</b>"|"flow"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/liquere#Latin"" class=""extiw"" title=""wikt:liquere"">liquere</a></i>"|"deliquesce, liquefy, liqueur, liquid, liquor, prolix
"|
"<b>lit-</b><sup id=""cite_ref-71"" class=""reference""><a href=""#cite_note-71"">[71]</a></sup>"|"prayer, supplication"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CE%B9%CF%84%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:λιτή"">λιτή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>litḗ</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CE%B9%CF%84%CE%B1%CE%BD%CE%B5%CE%AF%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:λιτανεία"">λιτανεία</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>litaneía</i></span>)"|"litany
"|
"<b>liter-</b>"|"letter"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/littera#Latin"" class=""extiw"" title=""wikt:littera"">littera</a></i>"|"<a href=""/wiki/Alliteration"" title=""Alliteration"">alliteration</a>, <a href=""/wiki/Alliterative_verse"" title=""Alliterative verse"">alliterative</a>, biliteral, biliterate, illiteracy, illiterate, <a href=""/wiki/Literacy"" title=""Literacy"">literacy</a>, literal, literary, literate, literati, literatim, literation, literator, <a href=""/wiki/Literature"" title=""Literature"">literature</a>, multiliteral, nonliteral, nonliterary, nonliterate, obliterate, obliteration, preliterate, quadriliteral, <a href=""/wiki/Transliteracy"" title=""Transliteracy"">transliteracy</a>, transliterate, <a href=""/wiki/Transliteration"" title=""Transliteration"">transliteration</a>, <a href=""/wiki/Triliteral"" class=""mw-redirect"" title=""Triliteral"">triliteral</a>, uniliteral
"|
"<b>lith-</b><sup id=""cite_ref-72"" class=""reference""><a href=""#cite_note-72"">[72]</a></sup>"|"<a href=""/wiki/Stone"" class=""mw-redirect"" title=""Stone"">stone</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CE%AF%CE%B8%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:λίθος"">λίθος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>líthos</i></span>)"|"<a href=""/wiki/Aerolithology"" class=""mw-redirect"" title=""Aerolithology"">aerolithology</a>, <a href=""/wiki/Endolith"" title=""Endolith"">endolith</a>, endolithic, <a href=""/wiki/Epilithic"" class=""mw-redirect"" title=""Epilithic"">epilithic</a>, lithagogue, <a href=""/wiki/Stone_tool"" title=""Stone tool"">lithic</a>, <a href=""/wiki/Lithography"" title=""Lithography"">lithography</a>, <a href=""/wiki/Lithology"" title=""Lithology"">lithology</a>, <a href=""/wiki/Lithophile"" title=""Lithophile"">lithophile</a>, <a href=""/wiki/Lithophone"" title=""Lithophone"">lithophone</a>, <a href=""/wiki/Lithophyte"" title=""Lithophyte"">lithophyte</a>, <a href=""/wiki/Lithosphere"" title=""Lithosphere"">lithosphere</a>, lithotomy, <a href=""/wiki/Megalith"" title=""Megalith"">megalith</a>, <a href=""/wiki/Mesolithic"" title=""Mesolithic"">Mesolithic</a>, <a href=""/wiki/Microlite"" title=""Microlite"">microlite</a>, <a href=""/wiki/Monolith"" title=""Monolith"">monolith</a>, monolithic, <a href=""/wiki/Neolithic"" title=""Neolithic"">Neolithic</a>, <a href=""/wiki/Paleolithic"" title=""Paleolithic"">Paleolithic</a>, <a href=""/wiki/Photolithography"" title=""Photolithography"">photolithography</a>, <a href=""/wiki/Phytolith"" title=""Phytolith"">phytolith</a>
"|
"<b>loc-</b>"|"<a href=""/wiki/Location_(geography)"" class=""mw-redirect"" title=""Location (geography)"">place</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/locus#Latin"" class=""extiw"" title=""wikt:locus"">locus</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/locare#Latin"" class=""extiw"" title=""wikt:locare"">locare</a></i>"|"accouchement, allocate, bilocation, bilocular, <a href=""/wiki/Cislocative"" class=""mw-redirect"" title=""Cislocative"">cislocative</a>, <a href=""/wiki/Collocation"" title=""Collocation"">collocation</a>, <a href=""/wiki/Couch"" title=""Couch"">couch</a>, couchant, dislocate, <a href=""/wiki/Dislocation"" title=""Dislocation"">dislocation</a>, interlocal, lieu, local, locale, locality, locate, <a href=""/wiki/Location_(geography)"" class=""mw-redirect"" title=""Location (geography)"">location</a>, <a href=""/wiki/Locative_case"" title=""Locative case"">locative</a>, locator, locomotion, loculament, locular, <a href=""/wiki/Locule"" title=""Locule"">locule</a>, loculose, loculus, locus, milieu, multilocal, multilocation, multilocular, nonlocal, relocate, <a href=""/wiki/Relocation_(personal)"" title=""Relocation (personal)"">relocation</a>, translocate, translocation, <a href=""/wiki/Translocative"" class=""mw-redirect"" title=""Translocative"">translocative</a>, trilocular, unilocular
"|
"<b>log-</b>, <b><a href=""/wiki/-logy"" title=""-logy"">-logy</a></b>"|"word, reason, speech, thought"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CF%8C%CE%B3%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:λόγος"">λόγος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>lógos</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CE%BF%CE%B3%CE%AF%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:λογία"">λογία</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>logía</i></span>)"|"analogy, anthology, apology, biology, dialogue doxology, ecology, epilogue, etymology, eulogy, geology, ideologue, logarithm, <a href=""/wiki/Logic"" title=""Logic"">logic</a>, logogram, <a href=""/wiki/Logopaedics"" class=""mw-redirect"" title=""Logopaedics"">logopaedics</a>, logophile, <a href=""/wiki/Logotherapy"" title=""Logotherapy"">logotherapy</a>, meteorology, monologue, morphological, neologism, neurology, philology, prologue, psychology, <a href=""/wiki/Tautology_(logic)"" title=""Tautology (logic)"">tautology</a>, terminology, theology, toxicology, trilogy, zoology
"|
"<b>long-</b>"|"long"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/longus#Latin"" class=""extiw"" title=""wikt:longus"">longus</a></i>"|"<a href=""/wiki/Allonge"" title=""Allonge"">allonge</a>, elongate, elongation, <a href=""/wiki/Longa_(music)"" title=""Longa (music)"">longa</a>, longanimity, longe, <a href=""/wiki/Longeron"" title=""Longeron"">longeron</a>, longinquity, <a href=""/wiki/Longitude"" title=""Longitude"">longitude</a>, longitudinal, <a href=""/wiki/Long_syllable"" class=""mw-redirect"" title=""Long syllable"">longum</a>, lunge, <a href=""/wiki/Lungo"" title=""Lungo"">lungo</a>, oblong, prolong, prolongation, purloin
"|
"<b>loqu-</b>, <b>locut-</b>"|"speak"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/loquor#Latin"" class=""extiw"" title=""wikt:loquor"">loqui</a></i>"|"<a href=""/wiki/Allocution"" title=""Allocution"">allocution</a>, circumlocution, colloquial, colloquy, elocution, eloquent, <a href=""/wiki/Eloquence"" title=""Eloquence"">eloquence</a>, grandiloquent, interlocution, loquacious, loquacity, magniloquent, obloquy, soliloquy
"|
"<b>luc-</b>"|"bright, <a href=""/wiki/Light"" title=""Light"">light</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/lux#Latin"" class=""extiw"" title=""wikt:lux"">lūx</a></i> (genitive <i lang=""la""><a href=""https://en.wiktionary.org/wiki/lucis#Latin"" class=""extiw"" title=""wikt:lucis"">lūcis</a></i>), <i lang=""la""><a href=""https://en.wiktionary.org/wiki/lucere#Latin"" class=""extiw"" title=""wikt:lucere"">lucere</a></i>"|"elucidate, elucidation, elucubrate, elucubration, lucent, lucid, lucidity, <a href=""/wiki/Lucifer"" title=""Lucifer"">Lucifer</a> (bearer of light), <a href=""/wiki/Luciferase"" title=""Luciferase"">luciferase</a>, <a href=""/wiki/Luciferin"" title=""Luciferin"">luciferin</a>, luciferous, lucifugal, lucubrate, lucubration, luculent, noctilucent, pellucid, pellucidity, relucent, semipellucid, <a href=""/wiki/Transparency_and_translucency"" title=""Transparency and translucency"">translucency</a>, translucent, translucid, <a href=""/wiki/List_of_cloud_types"" title=""List of cloud types"">translucidus</a>
"|
"<b>lud-</b>, <b>lus-</b>"|"play"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ludo#Latin"" class=""extiw"" title=""wikt:ludo"">ludere</a></i>, <i><i lang=""la"" title=""Latin language text"">lusus</i></i>"|"allude, collude, delude, elude, elusive, elusory, illude, <a href=""/wiki/Illusion"" title=""Illusion"">illusion</a>, ludicrous, lusory, prelude
"|
"<b>lumin-</b>"|"<a href=""/wiki/Light"" title=""Light"">light</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/lumen#Latin"" class=""extiw"" title=""wikt:lumen"">lumen</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/luminis#Latin"" class=""extiw"" title=""wikt:luminis"">luminis</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/luminare#Latin"" class=""extiw"" title=""wikt:luminare"">luminare</a></i>"|"dislimn, enlumine, illuminable, illuminance, illuminant, illuminate, <a href=""/wiki/Illuminati"" title=""Illuminati"">illuminati</a>, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/illumination#English"" class=""extiw"" title=""wikt:illumination"">illumination</a></i>, illumine, <a href=""/wiki/Intraluminal"" class=""mw-redirect"" title=""Intraluminal"">intraluminal</a>, limn, <a href=""/wiki/Lumen_(unit)"" title=""Lumen (unit)"">lumen</a>, <a href=""/wiki/Luminaire"" class=""mw-redirect"" title=""Luminaire"">luminaire</a>, luminal, <a href=""/wiki/Luminance"" title=""Luminance"">luminance</a>, luminant, <a href=""/wiki/Luminaria"" title=""Luminaria"">luminaria</a>, <a href=""/wiki/Luminary_(astrology)"" title=""Luminary (astrology)"">luminary</a>, lumine, <a href=""/wiki/Luminescence"" title=""Luminescence"">luminescence</a>, luminescent, luminiferous, <a href=""/wiki/Luminosity"" title=""Luminosity"">luminosity</a>, luminous, relumine, <a href=""/wiki/Subluminal"" class=""mw-redirect"" title=""Subluminal"">subluminal</a>, subluminous, <a href=""/wiki/Superluminal"" class=""mw-redirect"" title=""Superluminal"">superluminal</a>, <a href=""/wiki/Transluminal"" class=""mw-redirect"" title=""Transluminal"">transluminal</a>
"|
"<b>lu-</b>, <b>luv-</b>, <b>lut-</b>"|"wash"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/luere#Latin"" class=""extiw"" title=""wikt:luere"">luere</a></i> (see also <i lang=""la""><a href=""https://en.wiktionary.org/wiki/diluere#Latin"" class=""extiw"" title=""wikt:diluere"">diluere</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/fluere#Latin"" class=""extiw"" title=""wikt:fluere"">fluere</a></i> and <i lang=""la""><a href=""https://en.wiktionary.org/wiki/pluere#Latin"" class=""extiw"" title=""wikt:pluere"">pluere</a></i>)"|"abluent, ablution, <a href=""/wiki/Alluvium"" title=""Alluvium"">alluvium</a>, <a href=""/wiki/Colluvium"" title=""Colluvium"">colluvium</a>, deluge, depollute, <a href=""/wiki/Diluent"" title=""Diluent"">diluent</a>, dilute, dilution, dilutive, diluvial, diluvian, <a href=""/wiki/Diluvium"" title=""Diluvium"">diluvium</a>, elute, <a href=""/wiki/Elution"" title=""Elution"">elution</a>, eluvial, elluviation, <a href=""/wiki/Eluvium"" title=""Eluvium"">eluvium</a>, illuviation, <a href=""/wiki/Illuvium"" title=""Illuvium"">illuvium</a>, lutaceous, <a href=""/wiki/Lutite"" title=""Lutite"">lutite</a>, pollution
"|
"<b>lun-</b>"|"<a href=""/wiki/Moon"" title=""Moon"">moon</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/luna#Latin"" class=""extiw"" title=""wikt:luna"">lūna</a></i>"|"<a href=""/wiki/Circumlunar_trajectory"" title=""Circumlunar trajectory"">circumlunar</a>, <a href=""/wiki/Cislunar_space"" class=""mw-redirect"" title=""Cislunar space"">cislunar</a>, <a href=""/wiki/Serous_demilune"" title=""Serous demilune"">demilune</a>, luna, lunar, lunate, <a href=""/wiki/Lunatic"" title=""Lunatic"">lunatic</a>, <a href=""/wiki/Lunation"" class=""mw-redirect"" title=""Lunation"">lunation</a>, lune, <a href=""/wiki/Lunette"" title=""Lunette"">lunette</a>, luniform, <a href=""/wiki/Lunisolar_calendar"" title=""Lunisolar calendar"">lunisolar</a>, <a href=""/wiki/Mezzaluna"" title=""Mezzaluna"">mezzaluna</a>, <a href=""/wiki/Mezzelune"" title=""Mezzelune"">mezzelune</a>, plenilunary, semilunar, sublunar, <a href=""/wiki/Sublunary"" class=""mw-redirect"" title=""Sublunary"">sublunary</a>, superlunary, translunar
"|
"<b>lut-</b>"|"yellow, golden"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/lutum#Latin"" class=""extiw"" title=""wikt:lutum"">lūtum</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/luteus#Latin"" class=""extiw"" title=""wikt:luteus"">lūteus</a></i>"|"<a href=""/wiki/Corpus_luteum"" title=""Corpus luteum"">corpus luteum</a>, luteal, <a href=""/wiki/Lutein"" title=""Lutein"">lutein</a>, <a href=""/wiki/Luteinizing_hormone"" title=""Luteinizing hormone"">luteinizing hormone</a>, luteous
"|
"<b>ly-</b>, <b>lysi-</b>, <b>lyt-</b><sup id=""cite_ref-73"" class=""reference""><a href=""#cite_note-73"">[73]</a></sup>"|"dissolving"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CF%8D%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:λύω"">λύειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>lúein</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">λυτός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>lutós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">λυτικός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>lutikós</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BB%CF%8D%CF%83%CE%B9%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:λύσις"">λύσις</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>lúsis</i></span>)"|"analyse, analysis, analytic, aparalytic, <a href=""/wiki/Autolysis_(biology)"" title=""Autolysis (biology)"">autolysis</a>, catalyse, <a href=""/wiki/Catalysis"" title=""Catalysis"">catalysis</a>, <a href=""/wiki/Catalyst"" class=""mw-redirect"" title=""Catalyst"">catalyst</a>, catalytic, <a href=""/wiki/Cytolysis"" title=""Cytolysis"">cytolysis</a>, dialysis, electrolysis, <a href=""/wiki/Electrolyte"" title=""Electrolyte"">electrolyte</a>, electrolytic, Hippolyte, <a href=""/wiki/Hydrolysis"" title=""Hydrolysis"">hydrolysis</a>, hydrolyte, hydrolytic, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/lysigeny#English"" class=""extiw"" title=""wikt:lysigeny"">lysigeny</a></i>, <a href=""/wiki/Lysine"" title=""Lysine"">lysine</a>, <a href=""/wiki/Lysis"" title=""Lysis"">lysis</a>, <a href=""/wiki/Lysosome"" title=""Lysosome"">lysosome</a>, lytic, <a href=""/wiki/Meta-analysis"" title=""Meta-analysis"">meta-analysis</a>, <a href=""/wiki/Palsy"" title=""Palsy"">palsy</a>, <a href=""/wiki/Paralyse"" class=""mw-redirect"" title=""Paralyse"">paralyse</a>, <a href=""/wiki/Paralysis"" title=""Paralysis"">paralysis</a>, <a href=""/wiki/Paralytic"" class=""mw-redirect"" title=""Paralytic"">paralytic</a>, plasmolysis, <a href=""/wiki/Proteolysis"" title=""Proteolysis"">proteolysis</a>
"|
"<b>macer-</b>"|"lean"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/macer#Latin"" class=""extiw"" title=""wikt:macer"">macer</a></i>"|"emaciate, macerate, meager
"|
"<b>macr-</b><sup id=""cite_ref-74"" class=""reference""><a href=""#cite_note-74"">[74]</a></sup>"|"long"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%B1%CE%BA%CF%81%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:μακρός"">μακρός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>makrós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">μακρότης</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>makrótēs</i></span>) ""length"""|"<a href=""/wiki/Amphimacer"" class=""mw-redirect"" title=""Amphimacer"">amphimacer</a>, macrobiotic, <a href=""/wiki/Macrocosm"" class=""mw-redirect"" title=""Macrocosm"">macrocosm</a>, macroeconomics, <a href=""/wiki/Macron_(diacritic)"" title=""Macron (diacritic)"">macron</a>, <a href=""/wiki/Macrophage"" title=""Macrophage"">macrophage</a>
"|
"<b>magn-</b>"|"great, large"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/magnus#Latin"" class=""extiw"" title=""wikt:magnus"">magnus</a></i>"|"<a href=""/wiki/Magnanimity"" title=""Magnanimity"">magnanimity</a>, magnanimous, <a href=""/wiki/Magnate"" title=""Magnate"">magnate</a>, magnificent, magnify, magnitude, magnum
"|
